month,mean_temp
1982-01,25.9
1982-02,27.1
1982-03,27.2
1982-04,27
1982-05,28
1982-06,28.4
1982-07,28.2
1982-08,27.7
1982-09,27.9
1982-10,27.4
1982-11,27.3
1982-12,26.2
1983-01,26.5
1983-02,28.1
1983-03,28.9
1983-04,29.4
1983-05,28.3
1983-06,28.3
1983-07,27.6
1983-08,28.1
1983-09,27.2
1983-10,27.6
1983-11,26.6
1983-12,25.4
1984-01,25.5
1984-02,25.8
1984-03,26.5
1984-04,27.3
1984-05,27.3
1984-06,27.5
1984-07,27.2
1984-08,27.4
1984-09,26.8
1984-10,27.4
1984-11,26.5
1984-12,26
1985-01,26.6
1985-02,27
1985-03,27.1
1985-04,27.5
1985-05,28
1985-06,28.2
1985-07,27
1985-08,27.7
1985-09,26.9
1985-10,26.7
1985-11,26.6
1985-12,26.1
1986-01,25.7
1986-02,26.9
1986-03,26.4
1986-04,27.4
1986-05,28.2
1986-06,27.9
1986-07,27.9
1986-08,28.3
1986-09,26.7
1986-10,26.9
1986-11,26.6
1986-12,26.3
1987-01,25.5
1987-02,26.6
1987-03,27.5
1987-04,27.9
1987-05,27.6
1987-06,28.7
1987-07,28.1
1987-08,27.4
1987-09,27.6
1987-10,27.9
1987-11,27.3
1987-12,26.4
1988-01,26.8
1988-02,27.1
1988-03,27.3
1988-04,27.8
1988-05,28.4
1988-06,28
1988-07,27.3
1988-08,27
1988-09,27.1
1988-10,27.5
1988-11,26.3
1988-12,26.2
1989-01,26.5
1989-02,26.6
1989-03,26.3
1989-04,27
1989-05,27.3
1989-06,27.5
1989-07,27.7
1989-08,27.1
1989-09,26.9
1989-10,27.1
1989-11,26.7
1989-12,26.3
1990-01,26.2
1990-02,27.6
1990-03,28.2
1990-04,28.5
1990-05,28.6
1990-06,28.3
1990-07,27.5
1990-08,28
1990-09,27.2
1990-10,27.5
1990-11,27.2
1990-12,26.3
1991-01,26.7
1991-02,27.1
1991-03,27.8
1991-04,27.7
1991-05,27.7
1991-06,28.6
1991-07,28.5
1991-08,28.2
1991-09,27.5
1991-10,27.5
1991-11,26.3
1991-12,25.6
1992-01,26.6
1992-02,27.5
1992-03,28.2
1992-04,28.4
1992-05,28.1
1992-06,28
1992-07,27.3
1992-08,27.8
1992-09,27.3
1992-10,27.4
1992-11,26.1
1992-12,25.5
1993-01,26.2
1993-02,26.7
1993-03,26.7
1993-04,27.6
1993-05,28.2
1993-06,28.5
1993-07,27.9
1993-08,28.6
1993-09,27.9
1993-10,27.5
1993-11,26.9
1993-12,26.5
1994-01,26.9
1994-02,27
1994-03,26.8
1994-04,27.9
1994-05,28.1
1994-06,28.1
1994-07,28.4
1994-08,28.1
1994-09,28.3
1994-10,27.9
1994-11,26.7
1994-12,26.9
1995-01,26.8
1995-02,26.5
1995-03,27.6
1995-04,27.9
1995-05,28.5
1995-06,28.9
1995-07,28
1995-08,27.4
1995-09,28.3
1995-10,27.8
1995-11,27
1995-12,26.3
1996-01,26.2
1996-02,26.5
1996-03,27.8
1996-04,27.8
1996-05,28.5
1996-06,28.3
1996-07,28.3
1996-08,27.4
1996-09,27.7
1996-10,27.5
1996-11,27.3
1996-12,26.6
1997-01,27.1
1997-02,27.4
1997-03,28.1
1997-04,28.1
1997-05,29.3
1997-06,29.3
1997-07,28.8
1997-08,28.8
1997-09,28.8
1997-10,28.2
1997-11,27.8
1997-12,27.3
1998-01,28
1998-02,28.9
1998-03,29.5
1998-04,29.2
1998-05,29.4
1998-06,28.6
1998-07,28.1
1998-08,27.5
1998-09,27.9
1998-10,28
1998-11,27.9
1998-12,26.6
1999-01,26.6
1999-02,27.2
1999-03,27.1
1999-04,28.3
1999-05,28
1999-06,28.2
1999-07,27.8
1999-08,27.5
1999-09,27.9
1999-10,27.2
1999-11,27.3
1999-12,26.8
2000-01,26.3
2000-02,26.6
2000-03,27.2
2000-04,27.5
2000-05,28.6
2000-06,27.6
2000-07,28.1
2000-08,27.5
2000-09,28
2000-10,27.8
2000-11,27.3
2000-12,27
2001-01,26.5
2001-02,27
2001-03,27.5
2001-04,27.7
2001-05,28.5
2001-06,28.2
2001-07,28.4
2001-08,28
2001-09,28
2001-10,27.6
2001-11,27.2
2001-12,26.7
2002-01,27
2002-02,27.3
2002-03,28.2
2002-04,28.6
2002-05,28.9
